Round#,Match#,Game#,Server,Receiver,First Serves,First Serve Wins,First Serve Loss,First Service Fault,Second Serves,Second Serve Wins,Second Serve Loss,Double Faults,Aces,Total Points Won,Total Points Lost
4,81,1,Abhishek Kumar,Saikat Maity,8,4,2,2,2,1,1,0,0,5,3
4,81,2,Saikat Maity,Abhishek Kumar,6,3,1,2,2,1,1,1,0,4,2
4,81,3,Abhishek Kumar,Saikat Maity,6,2,1,3,3,2,1,0,0,4,2
4,81,4,Saikat Maity,Abhishek Kumar,5,1,2,2,2,0,2,0,0,1,4
4,81,5,Abhishek Kumar,Saikat Maity,8,3,1,4,4,2,2,0,0,5,3
4,81,6,Saikat Maity,Abhishek Kumar,8,0,4,4,4,3,1,0,0,3,5
4,81,7,Abhishek Kumar,Saikat Maity,5,2,0,3,3,2,1,1,0,4,1
5,89,1,Jit Narayan De,Vineet Gupta,4,0,3,1,1,0,1,0,0,0,4
5,89,2,Vineet Gupta,Jit Narayan De,6,4,1,1,1,0,1,1,0,4,2
5,89,3,Jit Narayan De,Vineet Gupta,8,1,4,3,3,2,1,0,0,3,5
5,89,4,Vineet Gupta,Jit Narayan De,6,0,3,3,3,2,1,0,0,2,4
5,89,5,Jit Narayan De,Vineet Gupta,4,0,3,1,1,0,1,0,0,0,4
5,89,6,Vineet Gupta,Jit Narayan De,6,0,3,3,3,2,1,1,0,2,4
5,89,7,Jit Narayan De,Vineet Gupta,6,2,1,3,3,0,3,1,0,2,4
5,89,8,Vineet Gupta,Jit Narayan De,6,1,1,4,4,1,3,1,0,2,4
5,89,9,Jit Narayan De,Vineet Gupta,6,2,3,1,1,0,1,0,0,2,4
5,110,1,Vipul Gupta,Sisir Biswas,5,3,0,2,2,1,1,1,0,4,1
5,110,2,Sisir Biswas,Vipul Gupta,6,2,0,4,4,2,2,1,0,4,2
5,110,3,Vipul Gupta,Sisir Biswas,6,2,1,3,3,2,1,0,0,4,2
5,110,4,Sisir Biswas,Vipul Gupta,6,1,0,5,5,3,2,1,1,4,2
5,110,5,Vipul Gupta,Sisir Biswas,5,0,0,5,5,1,4,2,0,1,4
5,110,6,Sisir Biswas,Vipul Gupta,4,0,1,3,3,0,3,0,0,0,4
5,110,7,Vipul Gupta,Sisir Biswas,6,1,3,2,2,1,1,2,0,2,4
5,110,8,Sisir Biswas,Vipul Gupta,6,2,2,2,2,2,0,1,0,4,2
5,110,9,Vipul Gupta,Sisir Biswas,8,4,2,2,2,1,1,0,0,5,3
5,110,10,Sisir Biswas,Vipul Gupta,6,2,1,3,3,2,1,0,0,4,2
5,95,1,CKP,Vikrant Chopra,6,1,0,5,5,3,2,2,1,4,2
5,95,2,Vikrant Chopra,CKP,5,2,0,3,3,2,1,0,0,4,1
5,95,3,CKP,Vikrant Chopra,10,3,1,6,6,3,3,0,1,6,4
5,95,4,Vikrant Chopra,CKP,6,2,2,2,2,0,2,1,0,2,4
5,95,5,CKP,Vikrant Chopra,5,0,1,4,4,1,3,2,0,1,4
5,95,6,Vikrant Chopra,CKP,8,3,2,3,3,2,1,1,0,5,3
5,95,7,CKP,Vikrant Chopra,10,2,2,6,6,2,4,0,1,4,6
5,95,8,Vikrant Chopra,CKP,8,3,2,3,3,2,1,0,0,5,3
5,95,9,CKP,Vikrant Chopra,12,3,2,7,7,2,5,1,0,5,7
5,96,1,Subhadip Chakraborty,Sanjoy Saha,4,0,4,0,0,0,0,0,0,0,4
5,96,2,Sanjoy Saha,Subhadip Chakraborty,5,1,0,4,4,0,4,0,1,1,4
5,96,3,Subhadip Chakraborty,Sanjoy Saha,5,1,1,3,3,0,3,0,0,1,4
5,96,4,Sanjoy Saha,Subhadip Chakraborty,4,4,0,0,0,0,0,0,1,4,0
5,96,5,Subhadip Chakraborty,Sanjoy Saha,4,0,3,1,1,0,1,0,0,0,4
5,96,6,Sanjoy Saha,Subhadip Chakraborty,5,1,0,4,4,3,1,0,1,4,1
5,96,7,Subhadip Chakraborty,Sanjoy Saha,6,1,3,2,2,1,1,1,0,2,4
5,92,1,Vivek Karmakar,Sneh Mitra,4,0,0,4,4,0,4,2,0,0,4
5,92,2,Sneh Mitra,Vivek Karmakar,12,4,0,8,8,3,5,1,0,7,5
5,92,3,Vivek Karmakar,Sneh Mitra,6,2,3,1,1,0,1,1,0,2,4
5,92,4,Sneh Mitra,Vivek Karmakar,6,2,0,4,4,2,2,0,0,4,2
5,92,5,Vivek Karmakar,Sneh Mitra,6,4,0,2,2,0,2,0,0,4,2
5,92,6,Sneh Mitra,Vivek Karmakar,5,4,1,0,0,0,0,0,0,4,1
5,92,7,Vivek Karmakar,Sneh Mitra,10,4,3,3,3,2,1,0,0,6,4
5,92,8,Sneh Mitra,Vivek Karmakar,8,5,3,0,0,0,0,0,0,5,3
5,104,1,Agniswar Chatterjee,Shlok Mitra,5,1,3,1,1,0,1,0,0,1,4
5,104,2,Shlok Mitra,Agniswar Chatterjee,4,2,0,2,2,2,0,0,0,4,0
5,104,3,Agniswar Chatterjee,Shlok Mitra,4,0,3,1,1,0,1,1,0,0,4
5,104,4,Shlok Mitra,Agniswar Chatterjee,6,1,1,4,4,3,1,1,0,4,2
5,104,5,Agniswar Chatterjee,Shlok Mitra,10,2,3,5,5,2,3,2,0,4,6
5,104,6,Shlok Mitra,Agniswar Chatterjee,6,2,1,3,3,2,1,0,0,4,2
5,106,1,Tarun Sharma,Sudipta Chattoraj,14,7,4,3,3,1,2,0,1,8,6
5,106,2,Sudipta Chattoraj,Tarun Sharma,6,3,1,2,2,1,1,0,0,4,2
5,106,3,Tarun Sharma,Sudipta Chattoraj,16,8,6,2,2,1,1,0,0,9,7
5,106,4,Sudipta Chattoraj,Tarun Sharma,6,4,1,1,1,0,1,0,0,4,2
5,106,5,Tarun Sharma,Sudipta Chattoraj,6,2,4,0,0,0,0,0,0,2,4
5,106,6,Sudipta Chattoraj,Tarun Sharma,12,7,1,4,4,0,4,0,0,7,5
5,106,7,Tarun Sharma,Sudipta Chattoraj,6,2,4,0,0,0,0,0,0,2,4
5,106,8,Sudipta Chattoraj,Tarun Sharma,4,0,3,1,1,0,1,0,0,0,4
5,106,9,Tarun Sharma,Sudipta Chattoraj,6,3,2,1,1,1,0,0,0,4,2
5,106,10,Sudipta Chattoraj,Tarun Sharma,6,4,2,0,0,0,0,0,0,4,2
5,106,11,Tarun Sharma,Sudipta Chattoraj,8,2,4,2,2,1,1,0,0,3,5
5,106,12,Sudipta Chattoraj,Tarun Sharma,14,5,4,5,5,3,2,0,0,8,6
5,91,1,Akhilesh Verma,Sumit Raychaudhuri,6,1,0,5,5,1,4,2,0,2,4
